Series Number,Filename,Name,Description,Gender,Attributes- Hair. Eyes. Teeth. Clothing. Accessories. Expression. Strength. Weakness,UUID,sha256Hash
TEAM BEVEL,,,,,,,
1,adewale-the-amebo,adewale the amebo,adewale the amebo,male,"hair: bald, eyes: black, teeth: none, clothing: red, accessories: mask, expression: none, strength: powerful, weakness: curiosity",cad316c3-37f8-4b27-9f53-9d803bfcfee7,fd0ecb114e5082111835a15f18258ba44a658e4ca24283006215997d26ba3ee6
2,alli-the-queeny,alli the queeny,Alli is an LGBT Stan.,male,"hair: bald, eyes: white, teeth: none, clothing: yellow, accessories: mask, expression: none: strength: powerful, weakness: none",a57ecda4-a26f-4e97-a757-e1800af39aab,8d7c7382dcec02aa1d375938a4730e5f870cde8a574b46138f3409d6ca63443f
3,aminat-the-snnobish,aminat the snnobish,Aminat never really wants to talk to anyone.,female,"hair: brown bun, eyes: unknown, teeth: none, clothing: yellow, accessories: glasses, expression: blank, strength: powerful, weakness: attitude",0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de,4e992eb0bb1edfaa47071ce261b40fb7acdc4c4407975aa56fccb8ff6ef8e284
4,aminu-the-carpenter,aminu the carpenter,"Aminu's hands are blessed, he makes the best furniture in the whole of Kano.",male,"hair: bald, eyes: blue, teeth: none, clothing: yellow, accessories: mask, expression: none, strength: powerful, weakness: none",4f30b751-96e7-40fe-97fd-e3d44973ff2f,f7a6e402e21221c297f7670e38f5ad0f8082f76e8edc91044e5d8cd5747aef0c
5,chibuike-the-kudibag,chibuike the kudibag,Chibuike is too rich. Everyone wonders how he got it.,male,"hair: bald, eyes: black, teeth: none, clothing: blue, accessories: mask, expression: none, strength: hustler, weakness: none",5ce854f2-7ac1-46fd-b3fe-57583935d1e5,e5fcdfe8e6c696c4473672c4e051a9d03918bed5da2cc63b5e59c93a4cd59038
6,chidinma-the-model,chidinma the model,"From Paris' runways, to London's streets, she's always in demand.",female,"hair: brown hair, eyes: unknown, teeth: none, clothing: multicolored, accessories: glasses, expression: ",c98db72e-49ac-4ca6-89d5-e00f5fbbcc45,b15dc1222489bf813deb45103850e7efc99fe2a12224bba95bb80b1d3e6ad104
7,chioma-pretty- girl,chioma pretty girl,Chioma's face card is a 100.,female,,182ea888-a85b-42ca-ad73-ed4f8f9aa5c7,d6b0952018dfc4d9d479e12f0c1469030d4aba50e6dce94129c19e943956d1ec
8,damilare-the-handsome,damilare the handsome,He's a fine boy. Everyone loves his face(and him).,male,,27eca2dc-d7df-474a-8f8f-1858152c711e,b90ba4cd3057ca46ba75027128dad9244a6a4d5f5948a729684323f906f1c62b
9,ebiowie-the-planter,ebiowie the planter,Ebiowei has a reputation for nurturing plants.,male,,f1df8270-4d60-4bd4-8959-ba7c384db5c4,9010854eddb27d2fdbb940bf59ed8ae19317edb584c9c856106894d4462d9391
10,emeka-the-businessman,emeka the businessman,Emeka only cares about containers. No time to waste.,male,,9b3d75da-4887-4089-aee4-50de3954fdc9,71c9698efebe77e5d950cc78a36452df0ce7dc99e0be3084f2121b7001e01c74
11,gbeminyi-the-monk,gbeminyi the monk,He lives in a monastery off the coast. No one has heard him speak in years.,male,,c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb,95367e8d298836356400d4542f282a3ab72b0b904f6e5a932bdb4c4a72b69ec1
12,henry-the-sportsman,henry the sportsman,He's played every sport known to man. Even cricket.,male,,e1225451-bfdf-4a1f-8d37-9cce3a0bd67b,9daab22002a50dc51a8ebc0734275215952b4ca56c9885037fb999513e41e4c4
13,mayowa-the-smallie,mayowa the smallie,Mayowa is so small but everyone loves him even still.,male,,dfbb4163-df24-4d54-b74c-6218a68df8bd,f30ef51ea56ab5edec3f69fba1fd60dacad93ffb35b8c22121919092f149f3e7
14,muyiwa-the-stylish,muyiwa the stylish,Muyiwa has a motto which is never to be caught unfresh.,male,,dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7,a14921055e9d4aa593fbd97c4d78d63b183329a3a34ff43ab53dceac368a221e
15,nina-paper-chaser,nina paper chaser,Nina na Igbo girl wey like money. Finish.,female,,59524227-dc52-407c-8cca-e9e8c5fb3018,0b8baf9850720946e26e2e2d1dcc43a8df33090c06ff0adca47cf2c0a7b71421
16,oluwaseun-spicy,oluwaseun spicy,He loves spicy foods. He cooks pepper and sprinkles rice on top.,male,,808f7007-6552-4efa-bd13-4b7c337b102b,7a1afe97c1e26f740b9d40b9d13694476bfd35f52b61fb30d062aa66a109b183
17,sesan-the-smartie,sesan the smartie,Sesan always comes first in competitions.,male,,ba3edda7-8940-4ca4-97ba-826398d5909f,9d864e714f5f8310bebd10a8580bf214adffc261e6ceffa6af123d013c770e18
18,tiwa-london,tiwa london,"If she says she's in London and you see her, you're in London too.",female,,78da7aeb-8352-4e25-89ac-dc48b5984089,73729ffd18c11a0c4d9e52ad90b6d63f20bda498f3f8b9bbbf50c76b28e56f54
19,tunde-yoruba-demon,tunde yoruba demon,"Tunde derives joy in breaking girls heart. It's a lifestyle.""",male,,53b46bd7-a537-402b-b249-0b4074a8faae,7ccfed6dd6f3927128f0b44002c035589ba8ce542bc23b941001fd28c19ae3b5
20,yakubu-the-zombie,yakubu the zombie,Yakubu earned his zombie title because na only dust full him head.,male,,4adb6781-1614-424e-8f77-fe59ffca2209,369732b1859c3c54ae0e8297cf440bb5c7b2153b9ec0af1266fb0d69b26ba823
TEAM CLUTCH,,,,,,,
21,abdul-the-vibe,abdul the vibe,abdul the life of the party and can never be caught unfresh,male,"hair:none,eyes: black,teeth:none, clothings: purple and yellow, accessories:cap, expression:happy, strength:strong  ",770f817a-9d9a-4772-9a91-e66dd9d03470,5cfa791271a34a381ed19ff3961a4bc33c4a3b1ab8c23bd3758b70df739b6c68
22,emeka-the -clown,emeka the clown,"emeka the funny man, always making silly jokes",male,"hair:none ,eyes: black, teeth:none, clothings: yellow and black ankara, accessories:cap, expression:straight, strength:funny",78810fa6-a7ef-4d83-bf57-caf49db4ee69,41526f226ba4bb86e03695a35260bd420532a02a58560dcb9db62cf414c389fa
23,salam-the-odogwu,salam the odogwu,salam is a big time textile marketer always sourcing for quality materials,male,"hair:none, eyes:brown, teeth:none, clothings:wine and yellow, accessories:yayada cap, expression:happy, strength:rich",f2957ded-022c-4b07-92c6-b345d4816a67,8bfdf7556fa970cb3cdee387668563980c3c15c39e6637024bfacf42480d43ef
24,charles-the-exporter,charles the exporter,charles a business man an importer and exporter never to be caught idle,male,"hair:none,eyes: grey, teeth:none clothings:orange and blue, accessories:okpu ozo, expression:happy, strength:empathetic ",09395e76-19ed-4852-8748-795ee7496a8e,e3d38ec4bb04c51be0b89d169b2392d78d14294a767b87ce06e6ee0e826cb5d2
25,wole-the-pimp,wole the pimp,wole knows all the babes in town and is always pimping them out,male,"hair:none, eyes:black, teeth:none, clothings:yellow dashiki, accessories:yori yori, expression:happy, strength:strong",4d94d4f7-9b69-4e43-9db1-1fe83df92857,66d05e832cd3e0a9082a0b66b32bc6db97ed98c0e68bb4ed49053c0acb9e6b2e
26,saro-the-baller,saro the baller,saro is a baller and is always ready to turnup,male,"hair:none, eyes: blue, teeth:none, clothings:black and yellow dashiki, accessories:none, expression:angry, strength:strong",d35a7514-8996-42fb-a5f2-5a603ec679c5,13be84cef19606fbc1aaa570ad98565868c611b55622eb5bb99b164e53c29336
27,ade-omo-yoruba,ade omo yoruba,ade a yourba man takes pride in the yourba tribe,male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",92984fa0-310b-4377-8a10-15965d044383,f4d58d9ea7c2b267d2a8aebfa9a7632a6ff317421a924e75e628dfcdbe33a311
28,shola-cool-kid, shola cool kid,shola prefers to be alone because he hates stress,male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",3ac5c186-bc14-4eb6-8567-cc818465a64f,9e0bc6d5daf74d2da877d5377a5cd53b50438b1a660cac828d469ec77693453f
29,charlie-the-smoker,charlie the smoker,charlie uses smoking as a coping mechanism,male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:cap, expression:happy, Strrong",71a0aa22-d111-43b7-8484-43d87310bc42,daa197ac45730fab5692c28d1c28f9309fa44e4c0047e6ddc0f37a9da96a4688
